WARN   | wrapper  | 2020/03/09 14:44:06 | The "wrapper.java.command" property was redefined on line #45 of configuration file: /home/samiullah/workspace/socialive_ivr_engine/conf/wrapper.conf
WARN   | wrapper  | 2020/03/09 14:44:06 |   Old Value wrapper.java.command=java
WARN   | wrapper  | 2020/03/09 14:44:06 |   New Value wrapper.java.command=%JAVA_HOME%/bin/java
STATUS | wrapper  | 2020/03/09 14:44:06 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/09 14:44:06 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 14:44:06 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 14:44:06 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 14:44:06 | 
STATUS | wrapper  | 2020/03/09 14:44:07 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 14:44:07 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 14:44:07 | WrapperStartStopApp Error: Unable to locate the class uk.co.planetbeyond.server.main.Stopper: java.lang.ClassNotFoundException: uk.co.planetbeyond.server.main.Stopper
INFO   | jvm 1    | 2020/03/09 14:44:07 | 
INFO   | jvm 1    | 2020/03/09 14:44:07 | WrapperStartStopApp Usage:
INFO   | jvm 1    | 2020/03/09 14:44:07 |   java org.tanukisoftware.wrapper.WrapperStartStopApp {start_class{/start_method}} {start_arg_count} [start_arguments] {stop_class{/stop_method}} {stop_wait} {stop_arg_count} [stop_arguments]
INFO   | jvm 1    | 2020/03/09 14:44:07 | 
INFO   | jvm 1    | 2020/03/09 14:44:07 | Where:
INFO   | jvm 1    | 2020/03/09 14:44:07 |   start_class:     The fully qualified class name to run to start the 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    application.
INFO   | jvm 1    | 2020/03/09 14:44:07 |   start_arg_count: The number of arguments to be passed to the start class's 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:44:07 |   start_arguments: The arguments that would normally be passed to the start 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    class application.
INFO   | jvm 1    | 2020/03/09 14:44:07 |   stop_class:      The fully qualified class name to run to stop the 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    application.
INFO   | jvm 1    | 2020/03/09 14:44:07 |   stop_wait:       When stopping, should the Wrapper wait for all threads to 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    complete before exiting (true/false).
INFO   | jvm 1    | 2020/03/09 14:44:07 |   stop_arg_count:  The number of arguments to be passed to the stop class's 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:44:07 |   stop_arguments:  The arguments that would normally be passed to the stop 
INFO   | jvm 1    | 2020/03/09 14:44:07 |                    class application.
STATUS | wrapper  | 2020/03/09 14:44:09 | <-- Wrapper Stopped
